Adress,Radius,Budget,Tabu List's Max Size
"lane added at (876375198, 876375228, 0)",51,91,33.635000000000005,40.769484996795654
"lane reversed at (4843821512, 4843821513, 0)",51,91,33.751999999999995,41.36253309249878
"lane removed at (542607588, 2608953058, 0)",51,91,33.577999999999996,42.00218892097473
"lane added at (4837454355, 2608953058, 0)",51,91,31.368,42.64095377922058
"lane removed at (541838356, 8841353743, 0)",51,91,35.18899999999999,43.25287103652954
"lane added at (4843821516, 4843821515, 0)",51,91,34.06200000000002,44.317840337753296
"lane reversed at (541838634, 541837978, 0)",51,91,34.14500000000001,44.94173550605774
"lane removed at (541838109, 541838255, 0)",51,91,31.703999999999997,45.54674530029297
"lane reversed at (542080382, 542396848, 0)",51,91,32.916000000000004,46.15351176261902
"lane reversed at (7571747349, 7571747348, 0)",51,91,34.911,46.77167248725891
"lane reversed at (5902767415, 865711234, 0)",51,91,34.161999999999985,47.386958837509155
"lane removed at (541838389, 541838255, 0)",51,91,33.84799999999999,48.00072979927063
"lane added at (7571747348, 1424636458, 0)",51,91,45.611000000000004,48.619088649749756
"lane removed at (541838707, 541838634, 0)",51,91,49.522999999999996,49.2400438785553
"lane added at (541838356, 541838351, 0)",51,91,46.96099999999999,49.854668617248535
"lane removed at (542080382, 542080261, 0)",51,91,45.38800000000001,50.4868221282959
"lane reversed at (8841353743, 541838109, 0)",51,91,44.309000000000026,51.09519553184509
Status,Ending Time
None,51.1083037853241
Adress,Radius,Budget,Tabu List's Max Size
"Rua Roberto Sampaio Gonzaga, Florianópolis, Brazil",500,30000,80
Operation,Number of Nodes,Number of Edges,Value,Time
"lane removed at (542396533, 6426946701, 0)",51,91,65.78399999999996,0.9943091869354248
"lane reversed at (541838306, 541838315, 0)",51,91,64.64500000000002,1.6201701164245605
"lane reversed at (2608953058, 542607588, 0)",51,91,60.78499999999999,2.22943377494812
"lane reversed at (541838077, 8841353743, 0)",51,91,65.07700000000001,2.8485987186431885
"lane added at (542607588, 1992587306, 0)",51,91,52.039999999999985,3.4667632579803467
"lane reversed at (2608953058, 4837454355, 0)",51,91,55.76100000000001,4.097757816314697
"lane reversed at (542607339, 1992587306, 0)",51,91,50.315999999999974,4.698704957962036
"lane removed at (10608526941, 3603873259, 0)",51,91,55.331,5.307690143585205
"lane added at (541838338, 542607339, 0)",51,91,56.14300000000001,5.924636125564575
"lane reversed at (542538468, 4175137733, 0)",51,91,55.00199999999999,6.55496883392334
"lane added at (6426946701, 542395697, 0)",51,91,48.904,7.136390686035156
"lane removed at (542655556, 2892189217, 0)",51,91,50.974,7.74214506149292
"lane reversed at (541838351, 541838356, 0)",51,91,34.99500000000001,8.341841459274292
"lane added at (541838315, 541838306, 0)",51,91,37.546,8.925189018249512
"lane reversed at (4175137733, 10580484194, 0)",51,91,38.080999999999996,9.499492645263672
"lane removed at (542080261, 541838077, 0)",51,91,33.11899999999999,10.100233316421509
"lane reversed at (541838634, 541838707, 0)",51,91,36.775000000000006,10.703454971313477
"lane reversed at (541837978, 541838255, 0)",51,91,33.335,11.310990571975708
"lane added at (541837978, 541838634, 0)",51,91,34.385999999999996,11.885366916656494
"lane removed at (3603873259, 542538468, 0)",51,91,33.754,12.456395149230957
"lane added at (542080382, 542080261, 0)",51,91,32.92899999999998,13.075899839401245
"lane reversed at (865711234, 5902767415, 0)",51,91,29.602999999999994,13.66714882850647
"lane added at (541838255, 541838389, 0)",51,91,32.922,14.257945775985718
"lane reversed at (542080261, 541838077, 0)",51,91,33.055,14.858468055725098
"lane added at (7571747348, 1424636458, 0)",51,91,29.852999999999994,15.431163549423218
"lane added at (542607588, 542607597, 0)",51,91,30.476,16.030529260635376
"lane added at (7571747349, 7571747348, 0)",51,91,32.806,16.63596200942993
"lane reversed at (10608526941, 3603873259, 0)",51,91,29.613999999999983,17.22873878479004
"lane reversed at (7571747348, 7571747349, 0)",51,91,30.650999999999986,17.83431839942932
"lane added at (542396848, 542396533, 0)",51,91,29.750999999999998,18.43336319923401
"lane reversed at (541838389, 542655556, 0)",51,91,31.571999999999985,19.00357985496521
"lane reversed at (4843821515, 4843821516, 0)",51,91,33.31699999999999,19.601588010787964
"lane added at (5902767415, 865711234, 0)",51,91,32.456,20.18394160270691
"lane removed at (541838077, 542080261, 0)",51,91,31.699,20.810152053833008
"lane added at (2608953058, 542607588, 0)",51,91,33.01200000000001,21.429405450820923
"lane removed at (541838389, 541838306, 0)",51,91,30.263999999999992,22.025269985198975
"lane reversed at (1424636458, 542607597, 0)",51,91,33.03799999999999,22.65578007698059
